nl_query,db
"Who are all the friends of Alice from a specific city?
",graph
"Find all the users who have joined the platform this month.
",graph
"Knowledge Graphs
",graph
"What are the direct subcategories of Machine Learning?
",graph
"List all the relationships between climate change and renewable energy.
",graph
"How are Einstein and quantum physics connected?
",graph
"Find all the Nobel laureates in Chemistry.
",graph
"What are the components of a healthy diet?
",graph
"Identify all the chemical reactions in photosynthesis.
",graph
"Trace the lineage of modern computing.
",graph
"What are the main factors contributing to global warming?
",graph
"How is biodiversity related to ecosystem health?
",graph
"What are the fundamental principles of classical mechanics?
",graph
"Fraud Detection
",graph
"Identify transactions that deviate from typical spending patterns.
",graph
"List all connections between flagged accounts.
",graph
"How are suspicious entities linked in the network?
",graph
"Detect anomalies in recent credit card transactions.
",graph
"Which accounts are likely to be involved in money laundering?
",graph
"Identify email addresses linked to multiple suspicious accounts.
",graph
"What patterns are common among fraudulent transactions?
",graph
"How is account A linked to account B through third parties?
",graph
"Find all incidents of identity theft in the last year.
",graph
"Which IP addresses are frequently associated with breaches?
",graph
"Financial Services
",graph
"Who are the top investors in the fintech sector?
",graph
"Identify all bonds maturing in 2025.
",graph
"Trace the ownership history of stock XYZ.
",graph
"What are the current interest rates for fixed deposits?
",graph
"How are global currencies correlated with each other?
",graph
"Identify trends in cryptocurrency trading.
",graph
"Which companies have the highest ESG ratings?
",graph
"What are the recent mergers in the tech industry?
",graph
"Find mutual funds with the best performance last year.
",graph
"Who are the key stakeholders in the real estate market?
",graph
"Transportation and Logistics
",graph
"What is the most efficient route from city A to city B?
",graph
"Identify all interconnecting flights from New York to Tokyo.
",graph
"Which shipping routes are most prone to delays?
",graph
"List all railway stations in the European network.
",graph
"How are traffic patterns affected by weather changes?
",graph
"Find connections between public transport in London and Paris.
",graph
"Identify key logistics hubs in Southeast Asia.
",graph
"What are the scheduled maintenance periods for the subway?
",graph
"Which cities have the most efficient public transport systems?
",graph
"Find all electric vehicle charging stations along Route 66.
",graph
"Retail and E-commerce
",graph
"List all brand collaborations with retailer X.
",graph
"Find customers who frequently buy both product A and B.
",graph
"Identify trends in consumer electronics sales.
",graph
"What are the most common supply chain issues for apparel?
",graph
"Which regions show the highest growth in online shopping?
",graph
"Trace product returns for brand Y.
",graph
"Identify best-selling products in the last quarter.
",graph
"What are the seasonal sales patterns for furniture?
",graph
"How does customer engagement relate to product reviews?
",graph
"Find all logistics partners for company Z.
",graph
"query leverages the graph database's ability to efficiently traverse relationships and provide insights, making them well-suited for applications relying heavily on interconnected data.",graph
"Find all direct friends of Alice.
",graph
"What are the shortest paths between nodes A and B?
",graph
"Show all employees who report directly or indirectly to John.
",graph
"Which products are frequently bought together?
",graph
"List all mutual friends between Bob and Carol.
",graph
"Identify all the managers in the engineering department.
",graph
"Find all the movies directed by Christopher Nolan.
",graph
"Retrieve all nodes connected to node X with at most two degrees of separation.
",graph
"Show all the companies located in New York.
",graph
"List all people who have worked at both Company A and Company B.
",graph
"What recommendations can be made based on user X's purchase history?
",graph
"Find all documents cited by Document Y.
",graph
"Locate all airports within a 200-mile radius of Denver.
",graph
"List all authors who have published more than three books.
",graph
"Find all influencers connected to brand Z within three hops.
",graph
"Retrieve all courses that are prerequisites for Course 101.
",graph
"Show all friends of friends of Emily.
",graph
"Identify all the projects that involve team Y.
",graph
"List all cities connected directly by rail to Chicago.
",graph
"How are Person A and Person B connected?
",graph
"Find all articles co-authored by Jane Smith.
",graph
"Locate all victim nodes targeted by hacker X.
",graph
"List all products that have been marked as premium.
",graph
"Show all communities with relationships stronger than threshold Z.
",graph
"Identify all participants in the conference held in 2020.
",graph
"What paths exist from Source A to Destination B in three steps?
",graph
"Find all suppliers of component X.
",graph
"Retrieve nodes that have a higher centrality than average.
",graph
"List all patients diagnosed with condition Y.
",graph
"Show relationships between social media posts and user Z.
",graph
"Find all gig work matches for skill set S in New York City.
",graph
"Identify common collaborators between Alice and Bob.
",graph
"Find all job postings related to Python programming.
",graph
"List all board members of a company.
",graph
"Retrieve students enrolled in both Math 101 and Physics 201.
",graph
"Show all cities that host annual cultural festivals.
",graph
"Find all paths leading to the major node in network N.
",graph
"What are the common factors across high-performing teams?
",graph
"List all companies with more than 500 employees.
",graph
"Identify all services offered by Business B in the last year.
",graph
"Show all peers in Doctor X's professional network.
",graph
"Find all transactions involving $1000 or more.
",graph
"Retrieve all branches of a retail chain in California.
",graph
"List all shared interests between user pairs.
",graph
"What collaborations exist between departments A and B?
",graph
"Show all influencers who have promoted brand X.
",graph
"Find frequent routes traveled by cross-country trucks.
",graph
"List all books borrowed in the last month.
",graph
"Locate every employee who joined after 2015.
",graph
"Identify all devices connected to Wi-Fi network Y.
",graph
"Show all the students from the state of Texas.
",graph
"Find every developer who worked on project Z.
",graph
"List all courses taught by Professor Y.
",graph
"Retrieve articles related to climate change.
",graph
"Locate all data breaches affecting more than 10,000 records.
",graph
"Identify projects completed under budget last quarter.
",graph
"Show all connections from Node A within three layers.
",graph
"List all papers citing Researcher X's work.
",graph
"How are city A and city B linked economically?
",graph
"Retrieve all government contracts from 2022.
",graph
"Find all dependencies of software library L.
",graph
"List all constellations visible from the Northern Hemisphere.
",graph
"Show key influencers in the fashion industry.
",graph
"Identify all characters who appear in both books written by Author Y.
",graph
"Locate every task due next week.
",graph
"List all network devices with IP addresses in range R.
",graph
"Find all children registered for Kindergarten in district D.
",graph
"Retrieve all businesses with tax incentives in state Z.
",graph
"Identify relationships among top fintech firms.
",graph
"Locate every billboard along highway H.
",graph
"Show all educational institutions in city C.
",graph
"List all chess games won by Grandmaster Y.
",graph
"Find every tourist attraction in country X.
",graph
"Identify all athletes competing in the Winter Olympics 2022.
",graph
"Show all trademarks held by Corporation A.
",graph
"List all peer-reviewed journals citing Subject S.
",graph
"Locate every registered patent by Inventor I.
",graph
"Identify similar products to Item X.
",graph
"Retrieve trending conversations in health forums.
",graph
"List startup founders from Silicon Valley in 2023.
",graph
"Locate infrastructure projects within metropolitan area M.
",graph
"Find all guest speakers at Conference 2022.
",graph
"Show all teachers with more than 10 years of experience.
",graph
"Identify game titles played by over a million users.
",graph
"List all properties managed by Realty Company R.
",graph
"Find every event attended by Celebrity C.
",graph
"Retrieve cross-border trade agreements in region R.
",graph
"Show all collaborative university programs.
",graph
"List all theaters screening Film F.
",graph
"Identify all courses with online modules available.
",graph
"Locate all international flights departing daily from JFK.
",graph
"List retail outlets with holiday discounts.
",graph
"Show all mutual interactions between users X and Y.
",graph
"Find every publication authored by Scientist Z in 2021.
",graph
"Locate all historical landmarks in City C.
",graph
"Find all the direct connections of a specific node.
",graph
"List the shortest path between two nodes.
",graph
"Identify all nodes connected via a specific type of relationship.
",graph
"Discover the longest path between two nodes.
",graph
"Retrieve all nodes that are within three hops of a given node.
",graph
"List all nodes with no outgoing edges.
",graph
"Identify all nodes with no incoming edges.
",graph
"Find common neighbors of two nodes.
",graph
"List all paths between two nodes.
",graph
"Find nodes that form a cycle.
",graph
"Retrieve all leaf nodes in the graph.
",graph
"Find all nodes connected by a specific sequence of relationships.
",graph
"Identify clusters or communities within the graph.
",graph
"List nodes that are reachable from a given node.
",graph
"Retrieve all nodes that have a specific label.
",graph
"Discover all relationships a specific node has.
",graph
"List all nodes that share a common parent node.
",graph
"Find all nodes with multiple roles or labels.
",graph
"Detect all nodes that form a clique or fully connected subgraph.
",graph
"Retrieve the degree (number of edges) of a specific node.
",graph
"Find all end-nodes (nodes with no children) starting from a specific node.
",graph
"Identify all isolated nodes in the graph.
",graph
"List the subgraph formed by a set of specific nodes.
",graph
"Find the most central node based on degree centrality.
",graph
"Identify bridges or critical edges that, if removed, would increase graph fragmentation.
",graph
"Retrieve nodes based on property key-value pairs.
",graph
"List all nodes that connect two communities.
",graph
"Find nodes that are part of at least three distinct paths.
",graph
"Discover any paths that include a specific node.
",graph
"Identify the root node of a tree structure.
",graph
"Find all ancestor nodes of a given node.
",graph
"Retrieve all descendant nodes of a given node.
",graph
"List all nodes involved in triangular relationships.
",graph
"Identify bottleneck nodes or edges that constrain network flow.
",graph
"Determine all subgraphs isomorphic to a given graph pattern.
",graph
"Find all sibling nodes of a given node.
",graph
"List nodes connected to a given node by exactly two types of relationships.
",graph
"Identify all paths of a given length.
",graph
"Retrieve the densest subgraph.
",graph
"Discover all nodes with cyclical relationships.
",graph
"Identify all pairs of nodes with more than one shortest path.
",graph
"Find all triadic closures in the graph.
",graph
"Retrieve the ego-network of a specific node.
",graph
"List all hub nodes with a high number of connections.
",graph
"Identify each node's clustering coefficient.
",graph
"Find nodes that have undergone no changes over a period.
",graph
"Retrieve all nodes based on a combination of labels and properties.
",graph
"Discover paths that are disjoint from a given path.
",graph
"Identify all self-loop nodes.
",graph
"Find the graph diameter (longest shortest path in the graph).
",graph
"List all nodes with properties that satisfy a range condition.
",graph
"Retrieve the graph radius (minimum eccentricity of any node).
",graph
"Identify articulation points whose removal increases graph disconnectedness.
",graph
"Find nodes connected to a specific node through a specified relationship type and label.
",graph
"List all paths from a start node to an end node that don't revisit nodes.
",graph
"Discover networks where nodes have a specified minimum degree.
",graph
"Identify all ancestor nodes up to a specific depth from a given node.
",graph
"Find nodes where a specific sequence of properties holds true.
",graph
"Retrieve paths that pass through a given set of nodes.
",graph
"List edge-disjoint paths between two nodes.
",graph
"Identify all nodes part of cycle paths with length more than four.
",graph
"Discover the average path length in the graph.
",graph
"Find nodes that form a majority of connections within a specific area of the graph.
",graph
"List all isolated subgraphs in a larger graph.
",graph
"Retrieve nodes with the highest clustering based on attributes.
",graph
"Identify strong components in a directed graph.
",graph
"Find weak components where indirect connections exist.
",graph
"List minimum cut edges between specified nodes.
",graph
"Identify all reachable nodes under certain edge constraints.
",graph
"Discover paths that maximize or minimize certain aggregated values.
",graph
"Retrieve all acyclic paths starting from a specific node.
",graph
"List communities with specific node characteristics.
",graph
"Identify pairs of nodes with no direct relationship.
",graph
"Find nodes that bridge two otherwise disconnected components.
",graph
"Discover all network motifs in a subgraph.
",graph
"Retrieve all nodes based on composite property conditions.
",graph
"List congruent path structures involving specific nodes.
",graph
"Identify shortest paths that satisfy certain constraints.
",graph
"Find nodes that evolve their properties over time.
",graph
"Retrieve paths that include a set of specified edges.
",graph
"List the number of paths between nodes exceeding a given threshold.
",graph
"Discover all asymmetric relationships between nodes.
",graph
"Identify the reach of influence of a specific node.
",graph
"Find nodes with mutual relationships categorized by label.
",graph
"Retrieve connections that represent transactional flows exceeding a value.
",graph
"Identify all paths that include specific nodes, irrespective of direction.
",graph
"Discover symmetry in the graph based on node structures.
",graph
"Retrieve all paths traversing a given edge more than once.
",graph
"List the top k nodes based on betweenness centrality.
",graph
"Find strongly connected components with a specific size.
",graph
"Locate boundary nodes transitioning between graph segments.
",graph
"Retrieve all paths connecting nodes with specific landmarks.
",graph
"List nodes with the greatest degree difference between in-degree and out-degree.
",graph
"Identify relationship-heavy areas in the graph.
",graph
"Find the shortest cycle in the graph.
",graph
"What path exists between node A and node B?
",graph
"Which nodes are directly connected to node C?
",graph
"What is the shortest path from node D to node E?
",graph
"Find all nodes within two hops from node F.
",graph
"Who are the mutual friends of person X and person Y?
",graph
"List all nodes that have a direct relationship with node G.
",graph
"How many direct connections does node H have?
",graph
"Retrieve all nodes reachable from node I.
",graph
"Which nodes form a cycle including node J?
",graph
"What is the degree of node K?
",graph
"Who are the ancestors of node L?
",graph
"Identify the descendants of node M.
",graph
"List all leaf nodes in the graph.
",graph
"Find the central nodes in the graph.
",graph
"Which nodes are part of the cluster containing node N?
",graph
"Determine if node O and node P are in the same component.
",graph
"What is the density of the graph?
",graph
"Who follows both person Q and person R on the network?
",graph
"List every pair of nodes with a direct connection.
",graph
"How many paths exist between node S and node T?
",graph
"What is the longest path from node U to node V?
",graph
"Which nodes have no outgoing connections?
",graph
"Identify all nodes with no incoming connections.
",graph
"List all nodes connected to node W by exactly three hops.
",graph
"What nodes are part of the same community as node X?
",graph
"Find nodes with the highest connectivity to node Y.
",graph
"Which nodes form triads including node Z?
",graph
"Determine the betweenness centrality of node A1.
",graph
"What is the cluster coefficient of the network?
",graph
"Who are the indirect friends of person B1?
",graph
"Identify all neighbors of node C1.
",graph
"List the hubs in the network.
",graph
"Which nodes have similar neighboring profiles to node D1?
",graph
"What is the average path length in the graph?
",graph
"Find all cross-cluster connections.
",graph
"Are there any bridge nodes between node E1 and node F1?
",graph
"What is the eigenvector centrality of node G1?
",graph
"List all strongly connected components.
",graph
"Can node H1 reach node I1 in less than four hops?
",graph
"What nodes are structurally equivalent in the graph?
",graph
"Identify potential bottlenecks in the network.
",graph
"What's the closeness centrality of node J1?
",graph
"Which nodes are isolated from the rest of the graph?
",graph
"Find nodes involved in feedback loops.
",graph
"What is the structural hole score for node K1?
",graph
"List all paths with odd length between node L1 and node M1.
",graph
"Determine overlapping communities in the network.
",graph
"Identify highly influential nodes.
",graph
"Locate all articulation points in the graph.
",graph
"What is the diameter of the graph?
",graph
"Who are the shared connections of person N1 with person O1?
",graph
"Which nodes are directly or indirectly connected to node P1?
",graph
"Find all disconnected subgraphs.
",graph
"Who frequently interacts with node Q1?
",graph
"Identify edge-independent paths between R1 and S1.
",graph
"Calculate the modularity of identified communities.
",graph
"Which relationships exist between node T1 and node U1?
",graph
"Determine the strength of ties between node V1 and their neighbors.
",graph
"What nodes form the periphery of the graph?
",graph
"Analyze the evolution of node W1's connections over time.
",graph
"Which nodes are part of a star network?
",graph
"List nodes with reciprocal relationships.
",graph
"How many triangles exist within the graph?
",graph
"Identify the shortest path avoiding node X1.
",graph
"Retrieve all loops starting and ending at node Y1.
",graph
"What nodes can be directly influenced by node Z1?
",graph
"Find all nodes accessible through directed edges from node A2.
",graph
"Who have common connections with both node B2 and node C2?
",graph
"Discover all potential cliques in the graph.
",graph
"What are the load centrality rankings of nodes?
",graph
"Which nodes form a bipartite subgraph?
",graph
"Who are the top k influencers in the network?
",graph
"What's the effect of removing node D2 on graph connectivity?
",graph
"Identify all reversible paths between node E2 and node F2.
",graph
"Can node G2 be connected to node H2 through peer-to-peer links?
",graph
"Which nodes serve as information proxies?
",graph
"Detect all transitive relationships starting at node I2.
",graph
"Determine the network's robustness metric.
",graph
"Locate nodes central to information flow.
",graph
"What community does node J2 belong to?
",graph
"Find all boundary spanners between two communities.
",graph
"What's the clustering tendency of the adjacent nodes?
",graph
"Who are the redundant connections in node K2’s network?
",graph
"Retrieve all semi-independent subgraphs.
",graph
"Detect emerging clusters in real-time.
",graph
"Identify backbone connections in the graph.
",graph
"What are the hierarchical levels of the nodes?
",graph
"Locate key influencers across multiple clusters.
",graph
"What's the global efficiency of the network?
",graph
"Determine the reachability ratios among components.
",graph
"What nodes are part of a dense subgraph?
",graph
"Find all nodes with cyclical dependency relationships.
",graph
"Identify motifs shared by node L2 and node M2.
",graph
"List bridges that can partition the graph.
",graph
"Which paths serve as shortcuts in the network?
",graph
"How do cycles affect information relay between nodes?
",graph
"Who acts as gatekeepers in node N2’s cluster?
",graph
"What is the redundancy factor of node O2’s connections?
",graph
"Classify nodes based on their connection symmetry.
",graph
"Evaluate path diversity between two given nodes.
",graph
"Infer trust levels based on transitive edges.
",graph
"What’s the Subgraph centrality of partition P?
",graph
"Which nodes serve as conduits for cluster-to-cluster exchanges?
",graph
"Discover isolated islands within the graph.
",graph
"Analyze the influence of node Q2's outgoing connections.
",graph
"Which nodes exhibit dynamic centrality?
",graph
"Locate bottleneck nodes within the graph.
",graph
"What is the weighted degree of node R2?
",graph
"Who are frequent collaborators with node S2?
",graph
"Identify edge homogeneity between clusters.
",graph
"What is the dependent degree count of node T2?
",graph
"Which nodes form the backbone of the graph?
",graph
"How do multiplex relationships influence node U2's influence?
",graph
"Discover time-sensitive connections in evolving networks.
",graph
"What roles do core nodes play in graph stability?
",graph
"Analyze the onset of fragmentation points within the network.
",graph
"Detect ring structures involving node V2.
",graph
"What node alignments exist within hyperedges?
",graph
"How are elite nodes orchestrating network dynamics?
",graph
"Explore all intermediary nodes in paths from node W2 to node X2.
",graph
"Find the shortest path between two users in a social network.
",graph
"Identify mutual friends between two people.
",graph
"List all employees who report directly or indirectly to a specific manager.
",graph
"Discover all components of a disconnected graph.
",graph
"Retrieve all nodes connected to a given node within three degrees of separation.
",graph
"Find all direct and indirect connections of a specific user.
",graph
"Determine if two pieces of equipment have a shared maintenance technician.
",graph
"Get all books written by authors who have co-authored with a specific author.
",graph
"List all airports accessible from a given airport with one or fewer layovers.
",graph
"Identify fraudulent transaction chains in a financial network.
",graph
"Retrieve all nodes with a specific label.
",graph
"Discover all movies featuring a particular actor and director collaboration.
",graph
"List all products purchased by customers who also bought a specific product.
",graph
"Find all shared interests between two users.
",graph
"Get all tweets mentioning a specific hashtag.
",graph
"Find the second-degree followers of a specific Twitter user.
",graph
"List all related projects that a team member is part of within a company.
",graph
"Identify all city pairs with a direct flight connection.
",graph
